Year,Day (mm/dd),Area Office Code,Form No,Line No,Survey Type Name,District,Stat Area,Stream Number,Stream Name,Area Surveyed,Species Name,Observer Initials,Usage Code,Usage Description,Mouth Count,Tidal Count,Live Count,Dead Count,Tide Description,Visibility Description,Water Level Description,Fish Presence,Comments
1987,7-Jul,B,2,1,AERIAL,101,101-41,101-41-025,Lucky Cove,Unknown,Coho,JPV,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Normal,Fish present but not counted in Mouth,
1987,19-Jul,C,142,2,FOOT,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,BEB,0,Not coded yet,50,0,0,0,Not recorded,Visibility Normal,Water Normal,Not recorded,
1987,20-Jul,B,7,1,AERIAL,101,101-41,101-41-025,Lucky Cove,Unknown,Coho,JPV,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Normal,Fish present but not counted in Mouth,
1987,23-Jul,D,9,13,AERIAL,113,113-22,113-22-028,Port Banks,Unknown,Coho,RDJ,0,Not coded yet,0,0,0,0,Not recorded,Not recorded,Not recorded,Fish present but not counted in Mouth,POOR SHOW-1 JUMP FALLS
1987,28-Jul,C,32,2,AERIAL,106,106-35,106-35-080,108 Creek Whale Pass,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Tide Low,Visibility Normal,Water Normal,Fish present but not counted in Mouth,4 J @ M LOOK LIKE COHO
1987,2-Aug,A,32,1,AERIAL,112,112-50,112-50-010,Pavlof River,Unknown,Coho,DJI,0,Not coded yet,0,0,0,0,Tide Low,Visibility Normal,Water Normal,Fish present but not counted in Mouth,SUSPECT COHO MO JPS
1987,3-Aug,D,20,13,AERIAL,113,113-22,113-22-028,Port Banks,Unknown,Coho,RDJ,0,Not coded yet,150,0,50,0,Not recorded,Visibility Normal,Not recorded,Not recorded,
1987,5-Aug,C,50,11,AERIAL,109,109-52,109-52-007,Rowan Creek,Unknown,Coho,WRB,0,Not coded yet,0,0,0,0,Not recorded,Visibility Normal,Water Low,Fish present but not counted in Mouth,JUMPING NE OF DUMP
1987,10-Aug,D,27,12,AERIAL,113,113-22,113-22-028,Port Banks,Unknown,Coho,RDJ,0,Not coded yet,200,50,0,0,Not recorded,Visibility Normal,Not recorded,Not recorded,
1987,13-Aug,A,44,14,FOOT,111,111-41,111-41-005,Admiralty Creek,Unknown,Coho,KII,0,Not coded yet,0,0,60,0,Tide Low,Visibility Excellent,Water Low,Not recorded,
