Year,Day (mm/dd),Area Office Code,Form No,Line No,Survey Type Name,District,Stat Area,Stream Number,Stream Name,Area Surveyed,Species Name,Observer Initials,Usage Code,Usage Description,Tide Description,Visibility Description,Water Level Description,Fish Presence,Mouth Count,Tidal Count,Live Count,Dead Count
1987,7-Jul,B,2,1,AERIAL,101,101-41,101-41-025,Lucky Cove,Unknown,Coho,JPV,0,Not coded yet,Not recorded,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,19-Jul,C,142,2,FOOT,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,BEB,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,50,0,0,0
1987,20-Jul,B,7,1,AERIAL,101,101-41,101-41-025,Lucky Cove,Unknown,Coho,JPV,0,Not coded yet,Not recorded,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,23-Jul,D,9,13,AERIAL,113,113-22,113-22-028,Port Banks,Unknown,Coho,RDJ,0,Not coded yet,Not recorded,Not recorded,Not recorded,Fish present but not counted in Mouth,0,0,0,0
1987,28-Jul,C,32,2,AERIAL,106,106-35,106-35-080,108 Creek Whale Pass,Unknown,Coho,WRB,0,Not coded yet,Tide Low,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,2-Aug,A,32,1,AERIAL,112,112-50,112-50-010,Pavlof River,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,3-Aug,D,20,13,AERIAL,113,113-22,113-22-028,Port Banks,Unknown,Coho,RDJ,0,Not coded yet,Not recorded,Normal,Not recorded,Not recorded,150,0,50,0
1987,5-Aug,C,50,11,AERIAL,109,109-52,109-52-007,Rowan Creek,Unknown,Coho,WRB,0,Not coded yet,Not recorded,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,10-Aug,D,27,12,AERIAL,113,113-22,113-22-028,Port Banks,Unknown,Coho,RDJ,0,Not coded yet,Not recorded,Normal,Not recorded,Not recorded,200,50,0,0
1987,13-Aug,A,44,14,FOOT,111,111-41,111-41-005,Admiralty Creek,Unknown,Coho,KII,0,Not coded yet,Tide Low,Excellent,Low,Not recorded,0,0,60,0
1987,13-Aug,C,70,4,AERIAL,106,106-43,106-43-021,Castle River,Unknown,Coho,WRB,0,Not coded yet,Tide Low,Normal,Low,Not recorded,10,0,0,0
1987,13-Aug,D,30,15,AERIAL,113,113-22,113-22-028,Port Banks,Unknown,Coho,RDJ,0,Not coded yet,Not recorded,Not recorded,Not recorded,Not recorded,150,0,0,0
1987,17-Aug,A,41,1,AERIAL,111,111-50,111-50-092,Barlow Cove W Shore,Unknown,Coho,DJI,0,Not coded yet,Tide High,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,17-Aug,B,69,10,AERIAL,101,101-55,101-55-073,Bakewell Lake Creek,Unknown,Coho,EDH,0,Not coded yet,Tide High,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,17-Aug,B,74,2,FOOT,101,101-55,101-55-073,Bakewell Lake Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Low,Fish present but not counted in Mouth,0,0,24,0
1987,19-Aug,A,51,5,AERIAL,112,112-50,112-50-010,Pavlof River,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,19-Aug,A,91,10,BOAT,182,182-70,182-70-010,Situk RIver,Unknown,Coho,GFW,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,170,0
1987,20-Aug,C,92,2,AERIAL,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,WRB,0,Not coded yet,Tide High,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,22-Aug,C,85,4,FOOT,106,106-41,106-41-010,Salmon Bay Creek,Unknown,Coho,DAH,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,1,2,0
1987,23-Aug,A,96,2,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GFW,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,500,0
1987,24-Aug,A,53,11,AERIAL,112,112-67,112-67-035,Hasselborg River,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Excellent,Low,Not recorded,0,0,500,0
1987,24-Aug,A,96,3,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GFW,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,500,0
1987,24-Aug,B,87,3,FOOT,101,101-45,101-45-078,Carroll Creek,Unknown,Coho,JFK,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,2,0
1987,25-Aug,C,121,4,FOOT,108,108-40,108-40-020,Andrews Creek,Unknown,Coho,RLT,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,1,0
1987,25-Aug,C,121,14,FOOT,108,108-40,108-40-14B,Hot Springs Creek,Unknown,Coho,RLT,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,1,0
1987,26-Aug,A,56,18,FOOT,112,112-17,112-17-016,Ward Creek,Unknown,Coho,MCA,0,Not coded yet,Tide High,Normal,Normal,Not recorded,0,0,12,0
1987,26-Aug,A,96,6,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GFW,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,5700,0
1987,27-Aug,A,52,11,FOOT,111,111-50,111-50-092,Barlow Cove W Shore,Unknown,Coho,DJI,0,Not coded yet,Not recorded,Normal,Low,Not recorded,40,0,0,0
1987,27-Aug,A,91,11,BOAT,182,182-70,182-70-010,Situk RIver,Unknown,Coho,GJT,0,Not coded yet,Tide High,Normal,Low,Not recorded,0,0,2000,0
1987,27-Aug,A,98,10,BOAT,182,182-70,182-70-010,Situk RIver,Unknown,Coho,GJT,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,2000,0
1987,27-Aug,C,103,5,AERIAL,105,105-32,105-32-012,Irish Creek-Rocky P,Unknown,Coho,WRB,0,Not coded yet,Tide Low,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,28-Aug,C,108,4,AERIAL,105,105-32,105-32-012,Irish Creek-Rocky P,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,28-Aug,C,109,4,AERIAL,106,106-44,106-44-031,Crystal Creek,Unknown,Coho,RCL,0,Not coded yet,Not recorded,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,28-Aug,C,111,10,AERIAL,109,109-42,109-42-010,Hamilton River,Unknown,Coho,RCL,0,Not coded yet,Tide Low,Excellent,Low,Fish present but not counted in Mouth,0,0,0,0
1987,28-Aug,C,112,17,AERIAL,106,106-42,106-42-010,Kah Sheets Creek,Unknown,Coho,RCL,0,Not coded yet,Tide Low,Excellent,Low,Not recorded,200,0,0,0
1987,29-Aug,A,96,7,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GJT,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,7500,0
1987,1-Sep,A,96,9,BOAT,182,182-80,182-80-030,Tawah Creek,Unknown,Coho,GJT,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,236,0
1987,1-Sep,A,96,14,AERIAL,192,192-42,192-42-020,Tsiu River,Unknown,Coho,GFW,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,8500,0
1987,1-Sep,C,105,4,AERIAL,109,109-52,109-52-007,Rowan Creek,Unknown,Coho,WRB,0,Not coded yet,Tide Low,Poor,High,Fish present but not counted in Mouth,0,0,0,0
1987,2-Sep,A,57,8,AERIAL,112,112-67,112-67-035,Hasselborg River,Unknown,Coho,DJI,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,300,1000,0,0
1987,5-Sep,A,96,15,AERIAL,186,186-15,186-15-052,Jetty,Unknown,Coho,GJT,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,50,0
1987,5-Sep,A,96,16,AERIAL,186,186-10,186-10-011,Point Riou Creek,Unknown,Coho,GJT,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,50,0
1987,5-Sep,A,96,17,AERIAL,185,185-10,185-10-010,Yahtse River,Unknown,Coho,GJT,0,Not coded yet,Not recorded,Normal,Low,Not recorded,0,0,150,0
1987,5-Sep,A,96,18,AERIAL,182,182-55,182-55-015,Old Italio River,Unknown,Coho,GJT,0,Not coded yet,Tide High,Poor,Low,Not recorded,0,0,50,0
1987,5-Sep,A,97,1,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,GJT,0,Not coded yet,Tide High,Normal,Low,Not recorded,0,0,100,0
1987,5-Sep,A,97,2,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,GJT,0,Not coded yet,Tide High,Poor,Normal,Not recorded,0,0,0,0
1987,8-Sep,A,60,3,AERIAL,112,112-67,112-67-035,Hasselborg River,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Normal,Normal,Not recorded,0,0,500,0
1987,8-Sep,A,60,15,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,DJI,0,Not coded yet,Tide High,Poor,High,Not recorded,0,0,0,0
1987,11-Sep,A,97,3,AERIAL,185,185-10,185-10-010,Yahtse River,Unknown,Coho,GJT,0,Not coded yet,Tide Low,Normal,Normal,Not recorded,0,0,300,0
1987,11-Sep,A,97,4,AERIAL,186,186-15,186-15-052,Jetty,Unknown,Coho,GJT,0,Not coded yet,Tide Low,Excellent,Low,Not recorded,0,0,200,0
1987,11-Sep,A,97,5,AERIAL,186,186-10,186-10-011,Point Riou Creek,Unknown,Coho,GJT,0,Not coded yet,Tide Low,Normal,Low,Not recorded,0,0,0,0
1987,11-Sep,A,97,6,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,GJT,0,Not coded yet,Tide Low,Poor,High,Not recorded,0,0,0,0
1987,11-Sep,A,97,7,AERIAL,182,182-50,182-50-010,Italio River,Unknown,Coho,GJT,0,Not coded yet,Tide Low,Normal,Normal,Not recorded,0,0,2500,0
1987,11-Sep,A,97,8,AERIAL,182,182-55,182-55-015,Old Italio River,Unknown,Coho,GJT,0,Not coded yet,Tide Low,Excellent,Normal,Not recorded,0,0,1000,0
1987,12-Sep,B,108,3,FOOT,102,102-40,102-40-060,Lagoon Creek,Unknown,Coho,PSD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,5,70,0
1987,15-Sep,A,68,1,AERIAL,112,112-67,112-67-035,Hasselborg River,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Excellent,Normal,Not recorded,0,0,400,0
1987,15-Sep,A,68,11,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,DJI,0,Not coded yet,Tide Low,Normal,Normal,Not recorded,0,0,170,0
1987,15-Sep,A,86,1,HELICOPTER,111,111-32,111-32-270,Nahlin River,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,156,9
1987,15-Sep,A,86,2,HELICOPTER,111,111-32,111-32-280,Dudidontu River,Unknown,Coho,LDS,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,252,24
1987,15-Sep,C,133,1,AERIAL,106,106-43,106-43-075,Duncan Ck Duncan Can,Unknown,Coho,RCL,0,Not coded yet,Tide Low,Poor,High,Not recorded,0,0,0,0
1987,16-Sep,C,135,10,FOOT,107,107-10,107-10-030,Black Bear Creek,Unknown,Coho,RLT,0,Not coded yet,Tide High,Poor,Normal,Not recorded,0,0,2,0
1987,22-Sep,A,81,1,AERIAL,115,115-20,115-20-010,Berners River,Unknown,Coho,RFS,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,235,0
1987,22-Sep,A,97,9,AERIAL,182,182-80,182-80-030,Tawah Creek,Unknown,Coho,REJ,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,1500,0
