Year,Day (mm/dd),Management Area Code,Line No,Survey Type Name,District,Stat Area,Stream Number,Stream Name,Area Surveyed,Species Name,Observer Initials,Usage Code,Usage Description,Tide Description,Visibility Description,Water Level Description,Fish Presence,Mouth Count,Tidal Count,Live Count,Dead Count
1987,7-Jul,B,1,AERIAL,101,101-41,101-41-025,Lucky Cove,Unknown,Coho,JPV,0,Not coded yet,Not recorded,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,20-Jul,B,1,AERIAL,101,101-41,101-41-025,Lucky Cove,Unknown,Coho,JPV,0,Not coded yet,Not recorded,Normal,Normal,Fish present but not counted in Mouth,0,0,0,0
1987,17-Aug,B,2,FOOT,101,101-55,101-55-073,Bakewell Lake Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Low,Fish present but not counted in Mouth,0,0,24,0
1987,17-Aug,B,10,AERIAL,101,101-55,101-55-073,Bakewell Lake Creek,Unknown,Coho,EDH,0,Not coded yet,Tide High,Normal,Low,Fish present but not counted in Mouth,0,0,0,0
1987,24-Aug,B,3,FOOT,101,101-45,101-45-078,Carroll Creek,Unknown,Coho,JFK,0,Not coded yet,Not recorded,Excellent,Low,Not recorded,0,0,2,0
1987,26-Sep,B,3,FOOT,101,101-15,101-15-085,Fish Creek-Hyder,Unknown,Coho,JFK,0,Not coded yet,Not recorded,Excellent,Normal,Not recorded,0,0,94,0
1987,7-Oct,B,5,FOOT,101,101-90,101-90-029,Traitors Cove Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,65,0
1987,8-Oct,B,1,FOOT,101,101-29,101-29-006,Vallenar Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,108,0
1987,8-Oct,B,16,FOOT,101,101-30,101-30-083,Humpback Creek,Unknown,Coho,LED,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,337,0
1987,9-Oct,B,6,HELICOPTER,101,101-30,101-30-060,Marten River,Unknown,Coho,SHH,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,740,0
1987,9-Oct,B,8,HELICOPTER,101,101-55,101-55-020,Wilson River,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,350,0
1987,9-Oct,B,9,HELICOPTER,101,101-55,101-55-040,Blossom River,Unknown,Coho,SHH,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,700,0
1987,9-Oct,B,12,HELICOPTER,101,101-30,101-30-030,Keta River,Unknown,Coho,SHH,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,800,0
1987,9-Oct,B,14,FOOT,101,101-15,101-15-019,Tombstone River,Unknown,Coho,SHH,3,Peak survey - useful for indexing abundance,Not recorded,Normal,Normal,Not recorded,0,0,532,0
1987,12-Oct,B,6,FOOT,101,101-80,101-80-070,Hatchery Ck-Yes Bay,Unknown,Coho,TPZ,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,8,0
1987,14-Oct,B,4,FOOT,101,101-45,101-45-024,White River,Unknown,Coho,JFK,0,Not coded yet,Not recorded,Poor,High,Not recorded,0,0,40,0
1987,20-Oct,B,1,FOOT,101,101-80,101-80-070,Hatchery Ck-Yes Bay,Unknown,Coho,PSD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,180,0
1987,21-Oct,B,3,FOOT,101,101-15,101-15-085,Fish Creek-Hyder,Unknown,Coho,JFK,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,432,0
1987,21-Oct,B,6,FOOT,101,101-15,101-15-090,Marx Creek-Hyder,Unknown,Coho,JFK,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,4,0
1987,22-Oct,B,1,FOOT,101,101-90,101-90-029,Traitors Cove Creek,Unknown,Coho,EDH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,73,0
1987,23-Oct,B,3,FOOT,101,101-71,101-71-028,Walker Creek,Unknown,Coho,PSD,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,160,0
1987,24-Oct,B,1,FOOT,101,101-47,101-47-015,Ward Creek,Unknown,Coho,SHH,0,Not coded yet,Not recorded,Normal,Normal,Not recorded,0,0,56,0
