Year,Herman Creek,Grant Creek,Eulachon River,Klahini River,Indian Creek,Barrier Creek,King Creek,Choca Creek,Carroll Creek,Blossom River,Keta River,Marten River,Humpback Creek,Tombstone River
1987,92,78,154,65,336,70,282,113,180,700,800,740,650,532
1988,72,150,205,20,300,50,175,150,193,790,850,600,52,"1,400"
1989,75,101,290,15,925,450,510,200,70,"1,000",650,"1,175",350,950
1990,150,30,235,150,242,50,35,81,136,800,550,575,135,275
1991,245,50,285,50,550,100,300,220,375,725,800,575,671,775
1992,115,270,860,90,675,100,250,150,360,650,627,"1,285",550,"1,035"
1993,90,175,460,50,475,325,110,300,310,850,725,"1,525",600,"1,275"
1994,265,220,755,200,560,175,325,225,475,775,"1,100","2,205",560,850
1995,250,94,435,165,600,220,415,180,400,800,"1,155","1,385",82,"2,446"
1996,94,92,383,40,570,230,457,220,240,829,"1,506","1,924",440,"1,806"
1997,75,82,420,60,353,73,295,175,140,"1,143",571,759,32,847
1998,94,130,460,120,304,50,411,190,280,"1,004","1,169","1,961",256,666
1999,75,127,657,150,356,25,627,225,425,598,"1,895","1,518",520,840
2000,135,94,600,110,380,72,620,180,275,"1,354","1,619","1,421",102,"1,672"
2001,80,110,929,151,"1,140",164,891,450,173,"1,561","1,714","1,956",506,"1,442"
2002,88,138,"1,105",20,940,70,700,220,270,"1,359","1,368","2,302","2,004","1,639"
2003,242,194,875,39,690,57,"1,140",380,469,"1,940","1,934","1,980",214,"1,745"
2004,150,230,801,170,935,250,640,180,455,"1,005","1,200","1,835","1,230",823
2005,510,300,"1,240",360,890,190,810,270,500,"3,680","3,290","1,130",500,"1,170"
2006,165,113,190,176,280,30,405,130,272,"2,300",645,335,260,"1,600"
2007,134,75,276,35,245,15,290,210,170,990,970,351,3,552
2008,115,55,570,25,"1,250",23,420,100,660,"7,100","2,549",925,"2,600",360
2009,149,330,330,340,750,110,"1,050",100,"1,100","1,536",315,"1,675",700,225
2010,85,102,370,62,880,90,570,190,180,350,550,350,200,584
2011,87,83,350,69,175,74,110,85,201,"1,235",776,350,850,652
2012,25,60,400,162,170,40,703,110,330,"2,400","3,300","2,650",360,"1,250"
2013,194,184,722,153,792,164,664,266,215,"2,140","1,560","2,370",530,"1,340"
2014,425,80,660,226,"1,500",242,850,400,220,"2,000","1,300","2,661","1,110","5,000"
2015,20,200,550,136,"1,200",242,550,200,450,"2,310","1,470","1,555",210,"1,035"
2016,160,25,810,450,370,90,540,315,750,"3,070","2,470","2,120",280,"1,970"
2017,40,160,540,280,850,20,100,240,285,"3,100","2,450","1,675",830,980
2018,75,55,280,70,610,179,595,110,160,"3,100","3,300","1,750",875,"2,700"
2019,240,60,220,116,420,20,800,700,60,"2,200",570,"1,410",600,500
2020,280,80,"2,200",100,950,30,850,60,20,"1,800","1,400",200,200,440
2021,660,,980,,400,320,610,210,900,"9,000","3,600",1230,1000,1500
