"","year","Barrier Creek","Blossom River","Carroll Creek","Choca Creek","Eulachon River","Grant Creek","Herman Creek","Humpback Creek","Indian Creek","Keta River","King Creek","Klahini River","Marten River","Tombstone River"
"1",1987,60.8879495431086,700,180,115.348836689083,154,65.3436691783713,92,650,327.201551679284,800,261.280558535544,69.5569563656263,740,532
"2",1988,50,790,193,150,205,150,72,52,300,850,175,20,600,1400
"3",1989,450,1000,248.914512529987,200,290,101,75,350,925,650,510,15,1175,950
"4",1990,43.8661292137616,800,122.678927020473,83.101944027167,235,30,150,135,235.729165665939,550,35,150,575,275
"5",1991,100,725,375,220,285,50,245,671,550,800,300,50,575,775
"6",1992,100,650,360,150,860,270,115,550,675,627,250,90,1285,1035
"7",1993,325,850,310,300,460,175,90,600,475,725,110,50,1525,1275
"8",1994,175,775,475,225,755,220,265,560,560,1100,325,200,2205,850
"9",1995,220,800,400,179,435,94,250,82,600,1155,415,165,1385,2446
"10",1996,230,829,240,220,383,92,94,440,570,1506,457,40,1924,1806
"11",1997,63.7428534566111,1143,140,175,420,68.4074921229734,75,32,342.543322873795,571,273.531437316692,60,759,847
"12",1998,50,1004,253.527485113116,190,460,130,94,256,304,1169,411,120,1961,666
"13",1999,25,598,425,225,657,127,75,520,356,1895,627,150,1518,840
"14",2000,72,1354,275,180,600,94,135,102,380,1619,620,110,1421,1672
"15",2001,146.264858819867,1561,173,450,929,110,80,506,1140,1741.70937484648,891,151,1956,1569.74384807523
"16",2002,70,1359,270,220,1105,138,88,2004,940,1368,700,20,2302,1639
"17",2003,57,1940,424.048331472856,380,875,162.722224133357,242,214,690,1934,1140,39,1980,1745
"18",2004,250,1005,455,180,801,230,150,1230,935,1200,640,170,3215,823
"19",2005,190,3680,500,270,1240,300,510,500,890,3290,810,360,1130,1170
"20",2006,30,2300,245.914820921781,130,190,94.3661456437301,165,260,280,645,405,176,335,1600
"21",2007,15,990,168.695330788699,210,271.93988783339,75,134,300.343214366417,245,970,290,35,351,647.3679586587
"22",2008,23,7100,598.643347745266,100,570,55,115,2600,1250,2548.96104739386,420,25,925,360
"23",2009,110,1627.42951683645,1100,100,330,330,140.192061477741,700,750,315,1050,340,1675,225
"24",2010,90,350,165.100202632962,190,370,102,85,200,880,550,570,67.4397842211917,350,633.57166231538
"25",2011,65.6232193066354,1235,183.52624853076,85,350,70.4254612771375,81.5844010777937,850,175,781.435658545543,110,74.9664167726961,350,704.281572680058
"26",2012,40,2400,330,110,400,60,25,360,170,3300,656.339342149673,174.727760989297,2650,1250
"27",2013,142.306184692103,2140,215,269.591158530871,641.55557362472,152.720009859644,176.918550635586,550,764.729388889154,1560,610.660068181314,162.567226412828,2370,1340
"28",2014,213.465518002032,2000,220,400,660,80,425,1062.8773422014,1500,1300,850,243.857969149064,2689.35803891499,5000
"29",2015,128.575927359887,2310,450,200,550,200,20,210,1200,1470,550,146.882104523978,1555,1035
"30",2016,90,3070,750,326.329484502458,810,25,160,280,370,2470,540,450,2120,1970
"31",2017,20,3100,285,240,540,158.953554924486,40,830,850,2450,100,280,1675,980
"32",2018,177.862281255139,3100,160,110,280,55,75,885.603401185104,610,3300,595,70,1750,2700
"33",2019,20,2200,60,700,220,60,240,600,420,570,800,115.976272664356,1410,500
