"","year","Barrier Creek","Blossom River","Carroll Creek","Choca Creek","Eulachon River","Grant Creek","Herman Creek","Humpback Creek","Indian Creek","Keta River","King Creek","Klahini River","Marten River","Tombstone River"
"1","1987",NA,700,180,NA,154,NA,92,650,34,800,NA,NA,740,532
"2","1988",50,790,193,150,205,150,72,52,300,850,175,20,600,1400
"3","1989",450,1000,18,200,290,101,75,350,925,650,510,15,1175,950
"4","1990",NA,800,1,NA,235,30,150,135,NA,550,35,150,575,275
"5","1991",100,725,375,220,285,50,245,671,550,800,300,50,575,775
"6","1992",100,650,360,150,860,270,115,550,675,627,250,90,1285,1035
"7","1993",325,850,310,300,460,175,90,600,475,725,110,50,1525,1275
"8","1994",175,775,475,225,755,220,265,560,560,1100,325,200,2205,850
"9","1995",220,800,173,179,435,94,250,82,600,1155,415,165,1385,2446
"10","1996",230,829,240,220,383,92,94,440,570,1506,457,40,1924,1806
"11","1997",1,1143,140,175,420,30,75,32,100,571,55,60,759,847
"12","1998",50,1004,24,190,460,130,94,256,304,1169,411,120,1961,666
"13","1999",25,598,425,225,657,127,75,520,356,1895,627,150,1518,840
"14","2000",72,1354,275,180,600,94,135,102,380,1619,620,110,1421,1672
"15","2001",NA,1561,173,450,929,110,80,506,1140,422,891,151,1956,505
"16","2002",70,1359,270,220,1105,138,88,2004,940,1368,700,20,2302,1639
"17","2003",57,1940,NA,380,875,17,242,214,690,1934,1140,39,1980,1745
"18","2004",250,1005,455,180,801,230,150,1230,935,1200,640,170,3215,823
"19","2005",190,3680,500,270,1240,300,510,500,890,3290,810,360,1130,1170
"20","2006",30,2300,NA,130,190,NA,165,260,280,645,405,176,335,1600
"21","2007",15,990,NA,210,NA,75,134,NA,245,970,290,35,351,52
"22","2008",23,7100,7,100,570,55,115,2600,1250,NA,420,25,925,360
"23","2009",110,NA,1100,100,330,330,NA,700,750,315,1050,340,1675,225
"24","2010",90,350,NA,190,370,102,85,200,880,550,570,NA,350,NA
"25","2011",NA,1235,NA,85,350,NA,NA,850,175,NA,110,NA,350,NA
"26","2012",40,2400,330,110,400,60,25,360,170,3300,NA,NA,2650,1250
"27","2013",15,2140,215,30,430,1,30,550,330,1560,220,NA,2370,1340
"28","2014",NA,2000,220,400,660,80,425,200,1500,1300,850,50,NA,5000
"29","2015",NA,2310,450,200,550,200,20,210,1200,1470,550,NA,1555,1035
"30","2016",90,3070,750,NA,810,25,160,280,370,2470,540,450,2120,1970
"31","2017",20,3100,285,240,540,NA,40,830,850,2450,100,280,1675,980
"32","2018",NA,3100,160,110,280,55,75,1800,610,3300,595,70,1750,2700
"33","2019",20,2200,200,700,220,60,240,600,420,570,800,NA,1410,500
