year,KTN_INDEX_global,KTN_INDEX_local,KTN_INDEX_localimprv,KTN_INDEX_default
1987,4757,5008,4872,4833
1988,5007,5007,5007,5007
1989,6931,7035,7008,7005
1990,3417,3624,3587,3533
1991,5721,5721,5721,5721
1992,7017,7017,7017,7017
1993,7270,7270,7270,7270
1994,8690,8690,8690,8690
1995,8626,8626,8626,8626
1996,8831,8831,8831,8831
1997,4983,4999,4999,5037
1998,7060,7058,7058,7135
1999,8038,8038,8038,8038
2000,8634,8634,8634,8634
2001,11362,11469,11469,11866
2002,12223,12223,12223,12223
2003,11806,11805,11805,11890
2004,11284,11284,11284,11284
2005,14840,14840,14840,14840
2006,6847,6907,6907,6898
2007,4709,4623,4623,4832
2008,16673,16986,16986,16658
2009,8807,9273,9273,8670
2010,4581,4567,4567,4596
2011,5088,5014,5014,5097
2012,11943,11917,11917,11940
2013,11218,10484,10484,11287
2014,16516,16446,16446,16795
2015,10021,10000,10000,10039
2016,13424,13396,13396,13419
2017,11547,11472,11472,11563
2018,13844,13477,13477,13886
2019,7915,7958,7958,7913
2020,8610,8610,8610,8610
