year,Barrier Creek,Blossom River,Carroll Creek,Choca Creek,Eulachon River,Grant Creek,Herman Creek,Humpback Creek,Indian Creek,Keta River,King Creek,Klahini River,Marten River,Tombstone River
1987,113.67218787957415,700,180,137.7535795405129,154,90.46716430355855,92,650,350.2421325101082,800,227.26810212464494,65.49262902359452,740,532
1988,50,790,193,150,205,150,72,52,300,850,175,20,600,1400
1989,450,1000,314.2072094659207,200,290,101,75,350,925,650,510,15,1175,950
1990,83.1066165602474,800,158.4834707225884,100.71270843140066,235,30,150,135,256.0647345030232,550,35,150,575,275
1991,100,725,375,220,285,50,245,671,550,800,300,50,575,775
1992,100,650,360,150,860,270,115,550,675,627,250,90,1285,1035
1993,325,850,310,300,460,175,90,600,475,725,110,50,1525,1275
1994,175,775,475,225,755,220,265,560,560,1100,325,200,2205,850
1995,220,800,400,179,435,94,250,82,600,1155,415,165,1385,2446
1996,230,829,240,220,383,92,94,440,570,1506,457,40,1924,1806
1997,118.46329561827905,1143,140,175,420,94.28021601901119,75,32,365.00429925284243,571,236.84710278577168,60,759,847
1998,50,1004,320.03020961145563,190,460,130,94,256,304,1169,411,120,1961,666
1999,25,598,425,225,657,127,75,520,356,1895,627,150,1518,840
2000,72,1354,275,180,600,94,135,102,380,1619,620,110,1421,1672
2001,262.7784788567503,1561,173,450,929,110,80,506,1140,1743.818068030058,891,151,1956,1912.0168286761764
2002,70,1359,270,220,1105,138,88,2004,940,1368,700,20,2302,1639
2003,57,1940,458.7033286855385,380,875,195.64970157001127,242,214,690,1934,1140,39,1980,1745
2004,250,1005,455,180,801,230,150,1230,935,1200,640,170,3215,823
2005,190,3680,500,270,1240,300,510,500,890,3290,810,360,1130,1170
2006,30,2300,263.7837456009869,130,190,117.88389150369846,165,260,280,645,405,176,335,1600
2007,15,990,184.77288621691324,210,333.29151195494126,75,134,285.52727287505945,245,970,290,35,351,713.0250556361135
2008,23,7100,637.0294750010164,100,570,55,115,2600,1250,2477.621600448186,420,25,925,360
2009,110,1490.4738200507627,1100,100,330,330,154.4443031386122,700,750,315,1050,340,1675,225
2010,90,350,193.9246934060082,190,370,102,85,200,880,550,570,61.46357527427697,350,603.7940244553187
2011,82.16052849192653,1235,215.04766231917182,85,350,86.28799088965658,90.87367920414691,850,175,729.7251631611718,110,68.15840699997312,350,669.561422018359
2012,40,2400,330,110,400,60,25,360,170,3300,685.5015467462134,159.67291217759598,2650,1250
2013,173.981679686033,2140,215,265.10747311032054,714.9094839729921,183.6612528225397,191.42781867805365,550,783.7788663981622,1560,647.9899737722303,150.93539418723063,2370,1340
2014,258.8830580187984,2000,220,400,660,80,425,1126.7112579215736,1500,1300,850,224.59040791523,2749.4526115369495,5000
2015,154.74737645236326,2310,450,200,550,200,20,210,1200,1470,550,134.2489410748704,1555,1035
2016,90,3070,750,313.5819424626737,810,25,160,280,370,2470,540,450,2120,1970
2017,20,3100,285,240,540,173.03931168998085,40,830,850,2450,100,280,1675,980
2018,200.36609133809935,3100,160,110,280,55,75,880.37514871269,610,3300,595,70,1750,2700
2019,20,2200,60,700,220,60,240,600,420,570,800,113.38832484808404,1410,500
2020,30,1800,20,60,2200,80,280,200,950,1400,850,100,200,440
2021,320,9000,900,210,980,296.71287855829036,660,1000,400,3600,610,299.40450107061304,1230,1500
