year,Herman Creek,Grant Creek,Eulachon River,Klahini River,Indian Creek,Barrier Creek,King Creek,Choca Creek,Carroll Creek,Blossom River,Keta River,Marten River,Humpback Creek,Tombstone River
1987,92,90.46708954458217,154,65.4926395572822,350.24182787924076,113.6720890106661,227.26791431804344,137.81526454281683,180,700,800,740,650,532
1988,72,150,205,20,300,50,175,150,193,790,850,600,52,1400
1989,75,101,290,15,925,450,510,200,314.2022184917263,1000,650,1175,350,950
1990,150,30,235,150,256.0644926833566,83.10653807691254,35,100.75779929787946,158.48305569510634,800,550,575,135,275
1991,245,50,285,50,550,100,300,220,375,725,800,575,671,775
1992,115,270,860,90,675,100,250,150,360,650,627,1285,550,1035
1993,90,175,460,50,475,325,110,300,310,850,725,1525,600,1275
1994,265,220,755,200,560,175,325,225,475,775,1100,2205,560,850
1995,250,94,435,165,600,220,415,180,400,800,1155,1385,82,2446
1996,94,92,383,40,570,230,457,220,240,829,1506,1924,440,1806
1997,75,94.27870235947111,420,60,364.9984233016762,118.46138855981026,236.84330022897012,175,140,1143,571,759,32,847
1998,94,130,460,120,304,50,411,190,320.0251261427462,1004,1169,1961,256,666
1999,75,127,657,150,356,25,627,225,425,598,1895,1518,520,840
2000,135,94,600,110,380,72,620,180,275,1354,1619,1421,102,1672
2001,80,110,929,151,1140,262.7737591527327,891,450,173,1561,1743.7884685254123,1956,506,1911.9843741718676
2002,88,138,1105,20,940,70,700,220,270,1359,1368,2302,2004,1639
2003,242,195.6477627253287,875,39,690,57,1140,380,458.69810968795235,1940,1934,1980,214,1745
2004,150,230,801,170,935,250,640,180,455,1005,1200,3215,1230,823
2005,510,300,1240,360,890,190,810,270,500,3680,3290,1130,500,1170
2006,165,117.882922801537,190,176,280,30,405,130,263.7812356519068,2300,645,335,260,1600
2007,134,75,333.28839282321763,35,245,15,290,210,184.7706215112407,990,970,351,285.524600748279,713.0174288031103
2008,115,55,570,25,1250,23,420,100,637.022646522866,7100,2477.599970888537,925,2600,360
2009,154.4433179818353,330,330,340,750,110,1050,100,1100,1490.4643127374156,315,1675,700,225
2010,85,102,370,61.46318011737593,880,90,570,190,193.9228005878487,350,550,350,200,603.789193177784
2011,90.87285701927891,86.28711906325542,350,68.15779940052826,175,82.1596337871235,110,85,215.0450288516495,1235,729.7174522114767,350,850,669.5544003780578
2012,25,60,400,159.67207381280025,170,40,685.497963261741,110,330,2400,3300,2650,360,1250
2013,191.42791368610258,183.66115424697617,714.9100283544941,150.93544792355874,783.7793064378467,173.98144982571543,647.990219359847,265.16552302343837,215,2140,1560,2370,550,1340
2014,425,80,660,224.58895709980743,1500,258.88095148370377,850,400,220,2000,1300,2749.43645665501,1126.7044404361602,5000
2015,20,200,550,134.24826292277493,1200,154.74633521289994,550,200,450,2310,1470,1555,210,1035
2016,160,25,810,450,370,90,540,313.6436814923344,750,3070,2470,2120,280,1970
2017,40,173.03840881824823,540,280,850,20,100,240,285,3100,2450,1675,830,980
2018,75,55,280,70,610,200.3647390098939,595,110,160,3100,3300,1750,880.3711548009419,2700
2019,240,60,220,113.38782375123508,420,20,800,700,60,2200,570,1410,600,500
2020,280,80,2200,100,950,30,850,60,20,1800,1400,200,200,440
2021,660,296.7114459446712,980,299.40319248698455,400,320,610,210,900,9000,3600,1230,1000,1500
2022,207.97546738557278,20,1500,170.25088724838105,350,150,220,150,433.703057137371,4400,2200,450,120,1572.8652483245646
2023,210,140,2150,20,620,314.63044260492296,2600,720,70,6000,7300,750,150,1650
